Combination,Start_X,Start_Y,Objective_X,Objective_Y,Step,Planner_Type,Distance_Threshold,Escalado_Vectores,Ascension_Rate,Descent_Rate,Flight_Level,Execution_Time,Trajectory_Points,Error_Code,Error_Message
1,9.44,18.33,27.22,22.78,0.50,0,4.00,4.00,1065353216,1065353216,230.00,0.000,0,2,"Objectve point is inside an obstacle"
2,5.00,18.33,31.67,22.78,0.50,1077936128,10.00,6.00,1065353216,1065353216,70.00,0.040,70,0,"Success"
3,5.00,13.89,13.89,18.33,0.50,0,10.00,4.00,1065353216,1065353216,70.00,0.043,21,0,"Success"
4,18.33,31.67,36.11,22.78,0.50,1077936128,7.00,6.00,1065353216,1065353216,150.00,0.000,0,1,"Initial point is inside an obstacle"
5,27.22,31.67,18.33,13.89,0.50,1065353216,4.00,4.00,1065353216,1065353216,230.00,0.050,41,0,"Success"
6,36.11,45.00,9.44,31.67,0.50,0,10.00,6.00,1065353216,1065353216,230.00,0.058,74,0,"Success"
7,27.22,5.00,27.22,45.00,0.50,1077936128,4.00,6.00,1065353216,1065353216,150.00,0.047,92,0,"Success"
8,5.00,18.33,31.67,13.89,0.50,1065353216,10.00,5.00,1065353216,1065353216,150.00,0.056,57,0,"Success"
9,5.00,5.00,40.56,40.56,0.50,1065353216,7.00,6.00,1065353216,1065353216,230.00,0.063,121,0,"Success"
10,36.11,40.56,18.33,9.44,0.50,1077936128,4.00,6.00,1065353216,1065353216,150.00,0.000,0,2,"Objectve point is inside an obstacle"
11,36.11,18.33,45.00,9.44,0.50,1073741824,4.00,6.00,1065353216,1065353216,70.00,0.056,31,0,"Success"
12,18.33,40.56,18.33,36.11,0.50,0,7.00,4.00,1065353216,1065353216,230.00,0.053,10,0,"Success"
13,5.00,40.56,18.33,5.00,0.50,1077936128,4.00,4.00,1065353216,1065353216,230.00,0.000,0,1,"Initial point is inside an obstacle"
14,27.22,22.78,22.78,27.22,0.50,0,10.00,6.00,1065353216,1065353216,70.00,0.000,0,1,"Initial point is inside an obstacle"
15,31.67,5.00,5.00,36.11,0.50,1077936128,10.00,5.00,1065353216,1065353216,230.00,0.000,0,2,"Objectve point is inside an obstacle"
16,36.11,22.78,36.11,9.44,0.50,1073741824,7.00,5.00,1065353216,1065353216,70.00,0.048,30,0,"Success"
17,27.22,5.00,27.22,5.00,0.50,0,7.00,5.00,1065353216,1065353216,70.00,0.042,0,4,"No trajectory generated"
18,13.89,9.44,18.33,27.22,0.50,1073741824,10.00,4.00,1065353216,1065353216,70.00,0.000,0,2,"Objectve point is inside an obstacle"
19,36.11,45.00,13.89,13.89,0.50,1065353216,7.00,5.00,1065353216,1065353216,150.00,0.051,111,0,"Success"
20,18.33,31.67,5.00,31.67,0.50,1065353216,10.00,4.00,1065353216,1065353216,70.00,0.000,0,1,"Initial point is inside an obstacle"
21,22.78,36.11,18.33,22.78,0.50,1073741824,4.00,6.00,1065353216,1065353216,70.00,0.000,0,2,"Objectve point is inside an obstacle"
22,13.89,31.67,13.89,36.11,0.50,0,4.00,6.00,1065353216,1065353216,150.00,0.064,8,0,"Success"
23,18.33,13.89,36.11,5.00,0.50,1073741824,10.00,6.00,1065353216,1065353216,70.00,0.062,45,0,"Success"
24,5.00,31.67,13.89,40.56,0.50,1073741824,10.00,6.00,1065353216,1065353216,70.00,0.056,34,0,"Success"
25,13.89,13.89,5.00,5.00,0.50,1065353216,4.00,5.00,1065353216,1065353216,230.00,0.047,24,0,"Success"
26,5.00,36.11,45.00,13.89,0.50,1073741824,7.00,6.00,1065353216,1065353216,70.00,0.000,0,1,"Initial point is inside an obstacle"
27,31.67,45.00,22.78,9.44,0.50,1065353216,10.00,6.00,1065353216,1065353216,150.00,0.054,86,0,"Success"
28,36.11,36.11,31.67,45.00,0.50,1073741824,10.00,4.00,1065353216,1065353216,150.00,0.000,0,1,"Initial point is inside an obstacle"
29,22.78,27.22,13.89,31.67,0.50,1077936128,4.00,4.00,1065353216,1065353216,70.00,0.050,39,0,"Success"
30,27.22,5.00,31.67,18.33,0.50,1073741824,4.00,4.00,1065353216,1065353216,70.00,0.047,30,0,"Success"
31,27.22,22.78,40.56,9.44,0.50,0,7.00,6.00,1065353216,1065353216,70.00,0.000,0,1,"Initial point is inside an obstacle"
32,22.78,36.11,36.11,27.22,0.50,1065353216,4.00,6.00,1065353216,1065353216,70.00,0.050,33,0,"Success"
33,31.67,45.00,9.44,40.56,0.50,1073741824,4.00,5.00,1065353216,1065353216,150.00,0.000,0,2,"Objectve point is inside an obstacle"
34,5.00,27.22,5.00,22.78,0.50,1073741824,4.00,5.00,1065353216,1065353216,230.00,0.050,8,0,"Success"
35,31.67,40.56,18.33,5.00,0.50,1065353216,10.00,5.00,1065353216,1065353216,150.00,0.073,99,0,"Success"
36,22.78,27.22,22.78,45.00,0.50,1077936128,10.00,4.00,1065353216,1065353216,230.00,0.050,46,0,"Success"
37,27.22,40.56,27.22,9.44,0.50,1065353216,7.00,6.00,1065353216,1065353216,150.00,0.000,0,1,"Initial point is inside an obstacle"
38,45.00,5.00,13.89,9.44,0.50,1065353216,4.00,6.00,1065353216,1065353216,150.00,0.042,78,0,"Success"
39,31.67,40.56,5.00,5.00,0.50,1073741824,4.00,4.00,1065353216,1065353216,150.00,0.045,91,0,"Success"
40,36.11,22.78,5.00,13.89,0.50,1065353216,4.00,6.00,1065353216,1065353216,230.00,0.045,69,0,"Success"
41,5.00,13.89,31.67,45.00,0.50,0,7.00,4.00,1065353216,1065353216,70.00,0.046,103,0,"Success"
42,31.67,45.00,31.67,27.22,0.50,0,10.00,5.00,1065353216,1065353216,150.00,0.050,37,0,"Success"
43,22.78,45.00,31.67,27.22,0.50,1077936128,4.00,4.00,1065353216,1065353216,150.00,0.045,46,0,"Success"
44,31.67,18.33,31.67,22.78,0.50,1065353216,7.00,4.00,1065353216,1065353216,150.00,0.048,12,0,"Success"
45,31.67,31.67,18.33,45.00,0.50,1073741824,4.00,5.00,1065353216,1065353216,230.00,0.046,42,0,"Success"
46,18.33,5.00,27.22,13.89,0.50,1073741824,7.00,5.00,1065353216,1065353216,150.00,0.070,35,0,"Success"
47,36.11,13.89,40.56,9.44,0.50,1077936128,4.00,5.00,1065353216,1065353216,150.00,0.047,14,0,"Success"
48,9.44,22.78,5.00,45.00,0.50,1065353216,10.00,4.00,1065353216,1065353216,230.00,0.055,75,0,"Success"
49,9.44,9.44,27.22,27.22,0.50,1077936128,10.00,6.00,1065353216,1065353216,150.00,0.059,52,0,"Success"
50,40.56,31.67,9.44,36.11,0.50,1065353216,7.00,5.00,1065353216,1065353216,70.00,0.058,71,0,"Success"
